Time,I, R, S
0.609895309412,506,126,9368
0.610542114746,507,126,9367
0.61155682595,506,127,9367
0.612078717775,505,128,9367
0.612588060062,506,128,9366
0.613137090691,507,128,9365
0.613445243235,508,128,9364
0.614438603131,509,128,9363
0.615235812896,510,128,9362
0.615384923577,509,129,9362
0.615419495179,510,129,9361
0.615866926112,511,129,9360
0.616199532726,510,130,9360
0.616225591307,511,130,9359
0.617039445449,510,131,9359
0.617597656152,509,132,9359
0.617799043059,510,132,9358
0.617853127176,509,133,9358
0.617892520973,510,133,9357
0.618331119902,509,134,9357
0.618414375845,510,134,9356
0.618650979822,511,134,9355
0.618653101136,512,134,9354
0.618743994739,513,134,9353
0.618885150255,512,135,9353
0.619355797541,513,135,9352
0.619988990905,514,135,9351
0.620020441569,515,135,9350
0.620166760782,516,135,9349
0.620458315883,517,135,9348
0.621003624046,518,135,9347
0.621140071299,519,135,9346
0.621351298839,520,135,9345
0.621393449178,521,135,9344
0.621837173415,522,135,9343
0.622457782483,523,135,9342
0.62275271318,522,136,9342
0.623386109532,523,136,9341
0.623651261701,522,137,9341
0.623833611946,521,138,9341
0.624066675837,520,139,9341
0.62434997474,519,140,9341
0.6243549356,520,140,9340
0.624863390152,519,141,9340
0.627443226598,518,142,9340
0.627445179353,519,142,9339
0.627504737698,518,143,9339
0.628255821918,519,143,9338
0.62915126446,518,144,9338
0.629735654239,519,144,9337
0.630079868861,520,144,9336
0.63040196643,521,144,9335
0.630547127353,522,144,9334
0.632136125415,521,145,9334
0.632276738092,520,146,9334
0.633710857901,521,146,9333
0.633967294291,522,146,9332
0.634061074359,523,146,9331
0.634180486281,522,147,9331
0.634695752812,521,148,9331
0.634792981349,522,148,9330
0.635314207221,521,149,9330
0.636772860827,522,149,9329
0.637585627267,523,149,9328
0.638492560905,522,150,9328
0.638540109625,521,151,9328
0.63855523403,522,151,9327
0.638774807875,523,151,9326
0.639261025414,524,151,9325
0.641959701262,525,151,9324
0.642407220383,526,151,9323
0.64294549773,525,152,9323
0.643455672122,526,152,9322
0.643830917561,527,152,9321
0.644695168618,528,152,9320
0.64510417789,529,152,9319
0.645124285189,530,152,9318
0.645284236344,531,152,9317
0.645689654684,532,152,9316
0.647337433707,533,152,9315
0.647868637855,534,152,9314
0.64813408816,535,152,9313
0.649715783707,536,152,9312
0.65026338469,535,153,9312
0.650655933313,536,153,9311
0.650819536429,535,154,9311
0.650907831546,536,154,9310
0.651092651446,537,154,9309
0.652216009611,538,154,9308
0.652305224291,539,154,9307
0.652340450926,538,155,9307
0.652505270063,539,155,9306
0.653373383944,540,155,9305
0.654070555003,541,155,9304
0.654105178332,542,155,9303
0.65465781635,543,155,9302
0.654996478447,544,155,9301
0.655838907264,545,155,9300
0.65684071174,544,156,9300
0.657831836995,545,156,9299
0.658462386152,544,157,9299
0.659467304908,545,157,9298
0.659510814524,546,157,9297
0.659616812394,547,157,9296
0.659771372689,546,158,9296
0.659826530377,547,158,9295
0.660216146749,548,158,9294
0.660329524756,549,158,9293
0.660430114527,548,159,9293
0.661864606451,549,159,9292
0.663117483712,550,159,9291
0.664349297116,551,159,9290
0.665061716337,552,159,9289
0.665316254125,553,159,9288
0.6654140727,554,159,9287
0.666017855736,555,159,9286
0.666217764499,554,160,9286
0.667644583114,555,160,9285
0.668516576471,556,160,9284
0.668647709468,555,161,9284
0.668780962143,556,161,9283
0.669247925931,555,162,9283
0.670000044316,556,162,9282
0.670287857934,555,163,9282
0.670662114489,554,164,9282
0.671605243022,553,165,9282
0.671628003244,554,165,9281
0.671671879904,553,166,9281
0.672077581901,554,166,9280
0.672340558311,553,167,9280
0.672438539868,552,168,9280
0.672945322118,553,168,9279
0.6730728891,554,168,9278
0.674040148213,555,168,9277
0.674084535705,556,168,9276
0.675326481068,557,168,9275
0.676068607058,558,168,9274
0.676375667372,559,168,9273
0.676834593379,560,168,9272
0.677006527439,561,168,9271
0.677375451443,562,168,9270
0.677603596199,561,169,9270
0.677716115672,562,169,9269
0.678040847702,563,169,9268
